ROWNUM;FullName;ShortName;LegalAddress;ExamDate;SubjectName;PassedQuantity;AVGScore;global_id;
5708;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2097»";"ГБОУ школа № 2097";"125363, г. Москва, ул. Аэродромная, д. 9";"29.05.2015";"Литература";"4";"4.25";"64167352";
5709;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1298»";"ГБОУ школа № 1298";"125466, г. Москва, ул. Юровская, д. 97";"29.05.2015";"Обществознание";"12";"4.17";"64167353";
5710;"Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»";"ГБОУ «Курчатовская школа»";"123060, г. Москва, улица Маршала Конева, дом 10.";"10.06.2015";"Информатика";"2";"5";"64167354";
5711;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1554»";"ГБОУ гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5";"05.06.2015";"Биология";"8";"3.75";"64167355";
5712;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1520 имени Капцовых»";"ГБОУ гимназия № 1520 им. Капцовых";"125009, г. Москва, Леонтьевский пер., д.19/2, стр.1";"05.06.2015";"Иностранный язык (немецкий язык)";"1";"5";"64167356";
5713;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»";"ГБОУ школа № 2127";"111672, г. Москва, ул. Салтыковская, д.13Б";"07.09.2015";"Математика";"1";"2";"64167357";
5714;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 709»";"ГБОУ школа № 709";"127204, г. Москва, 9-я Северная линия дом1 корпус2";"05.06.2015";"Физика";"2";"5";"64167358";
5715;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 856»";"ГБОУ школа № 856";"117208, г. Москва, Сумской пр., д.12, корп.6";"03.06.2015";"Русский язык";"31";"4";"64167359";
5716;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 329»";"ГБОУ школа № 329";"109456, г. Москва, 4-й Вешняковский проезд, д, 1, стр. 2";"27.05.2015";"Математика";"56";"3.52";"64167360";
5717;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»";"ГБОУ школа № 1022";"111621, г. Москва, Муромская ул., д.1А";"29.05.2015";"Информатика";"2";"4";"64167361";
5718;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253 с углубленным изучением иностранного языка»";"ГБОУ школа № 1253";"119021, г. Москва, Зубовский б-р, д.5, стр.1";"05.06.2015";"Физика";"5";"3.4";"64167362";
5719;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»";"ГБОУ школа № 1022";"111621, г. Москва, Муромская ул., д.1А";"18.06.2015";"Математика";"10";"3";"64167363";
5720;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»";"ГБОУ школа № 1329";"119602, г. Москва, ул.Никулинская, д.10";"05.06.2015";"История";"15";"3.73";"64167364";
